PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Jordan Hawkins,NOP,NOP @ IND,11/25/2024,L,18,2,1,5,20.0,0,3,0.0,0,0,-,0,2,2,2,1,0,1,0,-1,9.4
Quenton Jackson,IND,IND vs. NOP,11/25/2024,W,32,12,4,8,50.0,4,6,66.7,0,2,0.0,0,2,2,4,1,0,0,3,19,23.4
Tyrese Haliburton,IND,IND vs. NOP,11/25/2024,W,36,34,12,23,52.2,9,18,50.0,1,1,100,0,3,3,13,3,0,2,1,16,64.1
Obi Toppin,IND,IND vs. NOP,11/25/2024,W,16,7,3,8,37.5,1,4,25.0,0,0,-,0,2,2,2,0,0,0,0,-2,12.4
Javonte Green,NOP,NOP @ IND,11/25/2024,L,26,7,3,6,50.0,1,2,50.0,0,0,-,0,1,1,0,2,0,2,1,-6,12.2
Daniel Theis,NOP,NOP @ IND,11/25/2024,L,17,8,3,6,50.0,0,2,0.0,2,2,100,0,1,1,2,0,0,0,2,-30,12.2
Pascal Siakam,IND,IND vs. NOP,11/25/2024,W,37,14,6,13,46.2,1,4,25.0,1,1,100,2,5,7,7,0,0,2,2,4,30.9
Myles Turner,IND,IND vs. NOP,11/25/2024,W,28,17,7,11,63.6,2,6,33.3,1,3,33.3,3,6,9,1,1,1,3,5,21,32.3
CJ McCollum,NOP,NOP @ IND,11/25/2024,L,31,23,9,20,45.0,3,10,30.0,2,2,100,0,4,4,1,0,0,2,2,-13,27.3
Kevin Huerter,SAC,SAC vs. OKC,11/25/2024,L,10,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,0,0,0,0,2,-9,1.2
Robert Williams III,POR,POR @ MEM,11/25/2024,L,12,6,1,4,25.0,0,0,-,4,4,100,3,0,3,1,1,3,0,1,-13,23.1
John Konchar,MEM,MEM vs. POR,11/25/2024,W,4,3,1,1,100,1,1,100,0,0,-,0,0,0,1,0,0,1,2,-1,3.5
Deni Avdija,POR,POR @ MEM,11/25/2024,L,32,17,7,16,43.8,2,7,28.6,1,2,50.0,1,7,8,6,1,1,3,4,-11,38.6
Desmond Bane,MEM,MEM vs. POR,11/25/2024,W,24,8,2,8,25.0,1,4,25.0,3,4,75.0,0,7,7,2,0,1,2,3,9,20.4
Santi Aldama,MEM,MEM vs. POR,11/25/2024,W,22,13,6,12,50.0,1,1,100,0,1,0.0,7,10,17,2,0,0,1,1,6,35.4
Dalano Banton,POR,POR @ MEM,11/25/2024,L,24,11,4,10,40.0,2,7,28.6,1,2,50.0,0,2,2,2,0,0,3,2,1,13.4
Jay Huff,MEM,MEM vs. POR,11/25/2024,W,20,12,4,9,44.4,2,4,50.0,2,4,50.0,0,4,4,0,1,1,1,2,8,21.8
Jabari Walker,POR,POR @ MEM,11/25/2024,L,23,9,4,9,44.4,0,3,0.0,1,1,100,2,4,6,2,1,0,0,2,-8,22.2
Jake LaRavia,MEM,MEM vs. POR,11/25/2024,W,20,8,2,3,66.7,0,0,-,4,4,100,0,5,5,5,1,2,3,1,17,27.5
Justin Minaya,POR,POR @ MEM,11/25/2024,L,6,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,1,-2,1.2
Taze Moore,POR,POR @ MEM,11/25/2024,L,8,2,1,2,50.0,0,0,-,0,0,-,2,2,4,0,0,0,1,0,-2,5.8
Jaylen Wells,MEM,MEM vs. POR,11/25/2024,W,16,5,2,6,33.3,1,4,25.0,0,0,-,0,4,4,1,0,0,2,0,-2,9.3
Yuki Kawamura,MEM,MEM vs. POR,11/25/2024,W,4,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,0,0,0,1,-1,1.5
Jakob Poeltl,TOR,TOR @ DET,11/25/2024,L,28,8,4,11,36.4,0,0,-,0,0,-,4,7,11,2,0,2,2,4,-13,28.2
Chris Boucher,TOR,TOR @ DET,11/25/2024,L,22,10,4,9,44.4,1,4,25.0,1,1,100,4,3,7,0,1,1,0,0,11,24.4
Elfrid Payton,NOP,NOP @ IND,11/25/2024,L,31,14,7,11,63.6,0,0,-,0,0,-,1,6,7,21,2,0,5,5,10,54.9
T.J. McConnell,IND,IND vs. NOP,11/25/2024,W,21,7,2,5,40.0,0,0,-,3,4,75.0,1,4,5,0,2,1,0,0,-7,22.0
Moses Brown,IND,IND vs. NOP,11/25/2024,W,10,6,3,4,75.0,0,0,-,0,0,-,1,1,2,0,1,0,3,2,-1,8.4
Jeremiah Robinson-Earl,NOP,NOP @ IND,11/25/2024,L,21,7,3,3,100,1,1,100,0,0,-,3,5,8,2,0,0,3,2,-8,16.6
Brandon Boston Jr.,NOP,NOP @ IND,11/25/2024,L,26,9,3,6,50.0,2,4,50.0,1,2,50.0,0,2,2,3,1,0,2,1,-12,16.9
Trey Murphy III,NOP,NOP @ IND,11/25/2024,L,40,24,9,19,47.4,2,11,18.2,4,7,57.1,0,6,6,4,1,1,0,0,14,43.2
Bennedict Mathurin,IND,IND vs. NOP,11/25/2024,W,38,12,4,12,33.3,0,4,0.0,4,4,100,0,9,9,3,2,0,2,2,-8,31.3
Jarace Walker,IND,IND vs. NOP,11/25/2024,W,18,2,1,5,20.0,0,4,0.0,0,0,-,0,2,2,0,0,0,1,1,-8,3.4
Yves Missi,NOP,NOP @ IND,11/25/2024,L,31,16,7,11,63.6,0,0,-,2,6,33.3,4,9,13,0,2,2,0,3,26,43.6
Amir Coffey,LAC,LAC @ BOS,11/25/2024,L,25,4,2,8,25.0,0,3,0.0,0,0,-,0,4,4,0,1,0,0,2,-13,11.8
Nicolas Batum,LAC,LAC @ BOS,11/25/2024,L,23,0,0,2,0.0,0,1,0.0,0,0,-,1,3,4,1,0,0,0,0,-19,6.3
Kristaps Porziņģis,BOS,BOS vs. LAC,11/25/2024,W,23,16,6,12,50.0,1,6,16.7,3,4,75.0,1,5,6,2,1,2,1,0,3,34.2
Jaylen Brown,BOS,BOS vs. LAC,11/25/2024,W,31,17,6,11,54.5,3,7,42.9,2,4,50.0,0,6,6,4,3,1,3,1,11,39.2
Derrick White,BOS,BOS vs. LAC,11/25/2024,W,31,19,6,12,50.0,5,9,55.6,2,2,100,2,2,4,7,1,0,1,4,12,36.3
Terance Mann,LAC,LAC @ BOS,11/25/2024,L,23,10,4,11,36.4,2,4,50.0,0,0,-,3,3,6,2,1,0,0,2,-19,23.2
Kevin Porter Jr.,LAC,LAC @ BOS,11/25/2024,L,17,7,3,8,37.5,0,2,0.0,1,2,50.0,1,1,2,1,1,1,1,0,-27,15.9
Payton Pritchard,BOS,BOS vs. LAC,11/25/2024,W,26,20,7,13,53.8,6,10,60.0,0,0,-,0,2,2,4,2,0,1,0,30,33.4
Bones Hyland,LAC,LAC @ BOS,11/25/2024,L,12,2,0,5,0.0,0,2,0.0,2,2,100,1,0,1,0,0,0,1,2,-11,2.2
Sam Hauser,BOS,BOS vs. LAC,11/25/2024,W,23,9,3,3,100,3,3,100,0,0,-,0,2,2,0,0,0,0,0,27,11.4
Jordan Miller,LAC,LAC @ BOS,11/25/2024,L,20,10,4,10,40.0,0,1,0.0,2,2,100,1,0,1,0,1,0,2,1,-19,12.2
Kyrie Irving,DAL,DAL @ ATL,11/25/2024,W,41,32,11,28,39.3,6,13,46.2,4,4,100,2,5,7,6,0,0,3,3,3,46.4
Spencer Dinwiddie,DAL,DAL @ ATL,11/25/2024,W,36,22,6,11,54.5,4,7,57.1,6,7,85.7,0,3,3,4,0,0,2,1,11,29.6
Bogdan Bogdanović,ATL,ATL vs. DAL,11/25/2024,L,28,18,8,15,53.3,2,6,33.3,0,0,-,0,3,3,1,1,0,2,4,-26,24.1
P.J. Washington,DAL,DAL @ ATL,11/25/2024,W,39,11,5,11,45.5,1,3,33.3,0,0,-,0,10,10,4,1,3,1,3,12,40.0
De'Andre Hunter,ATL,ATL vs. DAL,11/25/2024,L,31,9,3,11,27.3,1,5,20.0,2,2,100,0,4,4,2,0,0,4,1,-16,12.8
Daniel Gafford,DAL,DAL @ ATL,11/25/2024,W,23,10,5,6,83.3,0,0,-,0,0,-,3,6,9,3,1,2,0,0,-2,34.3
Onyeka Okongwu,ATL,ATL vs. DAL,11/25/2024,L,22,8,4,11,36.4,0,2,0.0,0,0,-,5,2,7,1,0,1,0,2,-19,20.9
Naji Marshall,DAL,DAL @ ATL,11/25/2024,W,28,22,9,12,75.0,2,3,66.7,2,2,100,1,5,6,1,0,0,4,0,3,26.7
Jalen Johnson,ATL,ATL vs. DAL,11/25/2024,L,37,28,12,20,60.0,2,6,33.3,2,2,100,0,11,11,3,3,1,3,0,3,54.7
Marcus Smart,MEM,MEM vs. POR,11/25/2024,W,19,6,3,6,50.0,0,2,0.0,0,0,-,0,0,0,4,2,0,1,2,11,17.0
Jerami Grant,POR,POR @ MEM,11/25/2024,L,21,11,3,10,30.0,0,3,0.0,5,7,71.4,0,2,2,1,2,0,0,3,-8,20.9
Taj Gibson,CHA,CHA vs. ORL,11/25/2024,L,16,2,1,4,25.0,0,0,-,0,0,-,6,1,7,0,1,0,3,1,-8,10.4
Kentavious Caldwell-Pope,ORL,ORL @ CHA,11/25/2024,W,29,3,1,4,25.0,0,2,0.0,1,2,50.0,1,3,4,2,1,1,1,1,-2,15.8
Seth Curry,CHA,CHA vs. ORL,11/25/2024,L,13,9,3,4,75.0,1,2,50.0,2,2,100,0,1,1,0,0,0,0,1,-3,10.2
Gary Harris,ORL,ORL @ CHA,11/25/2024,W,7,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,1,1,-3,2.0
Goga Bitadze,ORL,ORL @ CHA,11/25/2024,W,22,6,3,6,50.0,0,0,-,0,0,-,2,2,4,2,1,1,1,1,-4,18.8
LaMelo Ball,CHA,CHA vs. ORL,11/25/2024,L,40,44,17,30,56.7,4,11,36.4,6,8,75.0,0,9,9,7,1,1,7,4,-2,64.3
Josh Green,CHA,CHA vs. ORL,11/25/2024,L,29,2,1,7,14.3,0,4,0.0,0,0,-,2,1,3,0,0,0,2,3,5,3.6
Anthony Black,ORL,ORL @ CHA,11/25/2024,W,22,10,3,13,23.1,2,9,22.2,2,2,100,0,3,3,1,3,0,1,3,0,23.1
Tristan da Silva,ORL,ORL @ CHA,11/25/2024,W,21,9,4,13,30.8,1,8,12.5,0,0,-,1,2,3,1,1,0,0,1,0,17.1
Tidjane Salaün,CHA,CHA vs. ORL,11/25/2024,L,30,1,0,3,0.0,0,2,0.0,1,2,50.0,1,6,7,1,0,0,2,3,1,8.9
Tobias Harris,DET,DET vs. TOR,11/25/2024,W,37,12,3,10,30.0,1,4,25.0,5,6,83.3,0,3,3,2,1,0,0,0,10,21.6
Ochai Agbaji,TOR,TOR @ DET,11/25/2024,L,24,0,0,4,0.0,0,3,0.0,0,0,-,0,1,1,1,1,0,1,3,-26,4.7
Scottie Barnes,TOR,TOR @ DET,11/25/2024,L,37,31,12,26,46.2,3,8,37.5,4,5,80.0,7,7,14,7,1,1,1,0,-2,63.3
Jalen Duren,DET,DET vs. TOR,11/25/2024,W,25,13,4,7,57.1,0,0,-,5,8,62.5,2,10,12,4,0,4,2,1,16,43.4
Simone Fontecchio,DET,DET vs. TOR,11/25/2024,W,9,1,0,2,0.0,0,2,0.0,1,2,50.0,1,0,1,0,0,0,0,2,-14,2.2
Tim Hardaway Jr.,DET,DET vs. TOR,11/25/2024,W,35,10,3,6,50.0,2,4,50.0,2,2,100,0,2,2,1,0,0,1,0,12,12.9
Malik Beasley,DET,DET vs. TOR,11/25/2024,W,33,14,4,16,25.0,3,14,21.4,3,4,75.0,0,2,2,5,1,0,3,3,10,23.9
Bruno Fernando,TOR,TOR @ DET,11/25/2024,L,14,9,4,7,57.1,0,0,-,1,2,50.0,3,1,4,5,0,0,0,4,13,21.3
RJ Barrett,TOR,TOR @ DET,11/25/2024,L,34,17,7,19,36.8,1,6,16.7,2,2,100,0,3,3,2,1,0,3,4,-16,23.6
Isaiah Stewart,DET,DET vs. TOR,11/25/2024,W,23,9,3,6,50.0,0,1,0.0,3,3,100,3,4,7,2,1,3,1,3,-16,31.4
Jaden Ivey,DET,DET vs. TOR,11/25/2024,W,36,25,10,13,76.9,2,4,50.0,3,6,50.0,0,5,5,8,1,0,3,2,25,43.0
Ronald Holland II,DET,DET vs. TOR,11/25/2024,W,11,4,2,5,40.0,0,2,0.0,0,0,-,0,1,1,0,0,0,0,2,-2,5.2
Jamison Battle,TOR,TOR @ DET,11/25/2024,L,22,9,4,9,44.4,1,5,20.0,0,0,-,1,3,4,1,1,1,0,2,20,21.3
James Harden,LAC,LAC @ BOS,11/25/2024,L,30,19,8,17,47.1,3,8,37.5,0,0,-,0,8,8,9,0,0,5,1,-14,37.1
Jrue Holiday,BOS,BOS vs. LAC,11/25/2024,W,29,5,2,10,20.0,1,8,12.5,0,0,-,1,3,4,6,0,0,1,1,13,17.8
